Protocol,Mode,Scenario,Run,Seed,N,Slot,OnsetSlot,HotspotActive,Algorithm,BudgetFraction,Satisfaction,Migrations,MigrationMB,AdmissionTransitions,RejectionTransitions,TotalPlacementStateTransitions,AdmittedTasks,RejectedTasks,RuntimeSec,BudgetGuardEnabled,MoveBudget,RepairOverride,BudgetExcess,ResourceViolationRate
paper2_revision_v3_transition_audit_20260906,SMOKE,compute_hotspot,1,2026074101,180,24,11,1,BigMECGreedy,0.05,55,22,31.9864,0,1,23,139,41,0.000737,0,NaN,0,0,0
paper2_revision_v3_transition_audit_20260906,SMOKE,compute_hotspot,1,2026074101,180,24,11,1,BudgetedLNS,0.05,62.7777777777778,2,2.4554,0,1,3,139,41,0.0766488,1,9,0,0,0
paper2_revision_v3_transition_audit_20260906,SMOKE,compute_hotspot,1,2026074101,180,25,11,1,FullResched,0.05,65,54,80.2314,0,1,55,138,42,0.0114636,0,NaN,0,0,0
paper2_revision_v3_transition_audit_20260906,SMOKE,compute_hotspot,1,2026074101,180,25,11,1,HIVE,0.05,42.2222222222222,54,73.2636,1,0,55,140,40,1.2859322,0,NaN,0,0,0
paper2_revision_v3_transition_audit_20260906,SMOKE,compute_hotspot,1,2026074101,180,25,11,1,BigMECGreedy,0.05,46.6666666666667,17,24.3548,0,1,18,138,42,0.0003714,0,NaN,0,0,0
paper2_revision_v3_transition_audit_20260906,SMOKE,compute_hotspot,1,2026074101,180,25,11,1,BudgetedLNS,0.05,68.8888888888889,5,7.6316,0,1,6,138,42,0.0821563,1,9,0,0,0
paper2_revision_v3_transition_audit_20260906,SMOKE,compute_hotspot,1,2026074101,180,26,11,1,FullResched,0.05,63.3333333333333,61,86.3368,0,0,61,138,42,0.0108495,0,NaN,0,0,0
paper2_revision_v3_transition_audit_20260906,SMOKE,compute_hotspot,1,2026074101,180,26,11,1,HIVE,0.05,50,55,77.9752,0,1,56,139,41,0.8327838,0,NaN,0,0,0
paper2_revision_v3_transition_audit_20260906,SMOKE,compute_hotspot,1,2026074101,180,26,11,1,BigMECGreedy,0.05,54.4444444444444,19,25.8148,0,0,19,138,42,0.0007635,0,NaN,0,0,0
paper2_revision_v3_transition_audit_20260906,SMOKE,compute_hotspot,1,2026074101,180,26,11,1,BudgetedLNS,0.05,68.3333333333333,3,4.1808,0,0,3,138,42,0.0974743,1,9,0,0,0
